Year,Mo,Dy,Hr,Mn,Sec,Val,Tsunami Cause Code,Tsu SRC,mag,Volcano,Tsu Runup,Doubtful Runup,Country,State,Name,lat,long,Distance from Source,Arrival Day,Arrival Hour,Arrival Min,Travel Hour,Travel Min,Max Water Height,Max Inundation Distance,Type,Per,1st Mtn,Num Deaths,Inf Deaths,Num Injuries,Inf Injuries,Mill Damage,Inf Damage,Num House Destroyed,Inf House Destroyed,Num House Damaged,Inf House Damaged,gid,timestamp,timestamp2
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,FUKUSHIMA,SAME,36.9,140.82,639.0,4.0,2.0,20.0,0.0,57.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,ABURAKOMA,41.95,143.217,57.0,4.0,1.0,38.0,0.0,15.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,AIBOSHIMA,42.467,143.433,49.0,4.0,1.0,45.0,0.0,22.0,3.3,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,AKKESHI,43.033,144.85,128.0,,,,,,6.5,,,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,ASAHI,42.067,143.067,65.0,4.0,1.0,59.0,0.0,37.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,ATSUNAI,42.8,143.817,72.0,4.0,1.0,53.0,0.0,30.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,BIWASE,43.05,145.083,142.0,4.0,3.0,2.0,1.0,40.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,CAPE ERIMO,41.95,143.25,54.0,4.0,1.0,35.0,0.0,12.0,2.7,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,CHIBIRA,42.017,143.283,49.0,4.0,1.0,50.0,0.0,27.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,CHIKAURA,42.05,143.083,64.0,,,,,,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,CHIKAURA,43.05,145.08,142.0,4.0,1.0,59.0,0.0,37.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,CHIYONOURA,42.967,144.4,101.0,,,,,,2.3,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,EBAOI,42.083,143.017,69.0,,,,,,1.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,EHAOI,42.08,143.02,69.0,,,,,,1.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,ERIMO,41.933,143.25,55.0,,,,,,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,FUEMAI,42.05,143.1,63.0,,,,1.0,7.0,1.2,,1.0,,,,,,,,1.0,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,FUYUSHIMA,42.1,142.983,72.0,,,,,,3.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HAKODATEKO,41.783,140.733,261.0,4.0,2.0,32.0,1.0,10.0,0.32,,2.0,60.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HANASAKI,43.283,145.567,189.0,,,,,,2.6,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HARUTACHI,42.267,142.5,112.0,4.0,2.0,59.0,1.0,37.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIDAKA,42.87,142.46,139.0,,,,,,3.3,,,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIGASHI-FUYUSHIMA,42.1,142.983,72.0,4.0,1.0,55.0,0.0,32.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIGASHISHIZUNAI,42.3,142.45,117.0,4.0,3.0,29.0,2.0,7.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
