time,latitude,longitude,depth,mag,place,type,Year,Mo,Dy,Date,timestamp,Hr,Mn,Sec,Val,Tsunami Cause Code,Focal Depth (km),Vol,Deposits,Country,Area,Region,Location Name,lat,long,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Missing,Injuries,Damage ($Mil),_merge,gid,Max Distance,timestamp2
,,,,7.0,,,1964.0,4.0,2.0,,1964-04-02,1.0,11.0,51.0,3.0,3.0,100.0,,0.0,INDONESIA,,60.0,OFF NORTHWEST COAST OF INDONESIA,5.8,95.4,,1.0,,-0.5,0.0,,,,,right_only,70,30.0,1964-04-02
,,,,6.9,,,1964.0,5.0,7.0,,1964-05-07,7.0,58.0,0.0,4.0,1.0,30.0,,0.0,JAPAN,,85.0,NW. HONSHU ISLAND,40.3,139.0,0.6,35.0,,-0.1,0.0,,,,,right_only,72,856.0,1964-05-07
,,,,7.5,,,1964.0,6.0,16.0,,1964-06-16,4.0,1.0,44.3,4.0,1.0,40.0,,1.0,JAPAN,,85.0,NW. HONSHU ISLAND,38.65,139.2,5.8,168.0,,2.7,2.0,26.0,,450.0,80.0,right_only,73,7858.0,1964-06-16
,,,,6.8,,,1964.0,7.0,24.0,,1964-07-24,8.0,12.0,39.0,4.0,1.0,15.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,47.159,153.876,0.08,5.0,,-3.3,-2.0,,,,,right_only,74,994.0,1964-07-24
,,,,7.6,,,1964.0,11.0,17.0,,1964-11-17,8.0,15.0,39.3,3.0,1.0,45.0,,0.0,PAPUA NEW GUINEA,,82.0,NEW BRITAIN,-5.7,150.7,0.05,1.0,,,,,,,,right_only,75,232.0,1964-11-17
,,,,6.3,,,1964.0,12.0,10.0,,1964-12-10,15.0,11.0,7.6,4.0,1.0,40.0,,0.0,JAPAN,,85.0,NW. HONSHU ISLAND,40.4,138.9,0.1,4.0,,-3.3,-3.0,,,,,right_only,76,91.0,1964-12-10
,,,,7.6,,,1965.0,1.0,24.0,,1965-01-24,0.0,11.0,12.1,4.0,1.0,6.0,,0.0,INDONESIA,,83.0,SANANA ISLAND,-2.4,126.1,,4.0,,2.0,2.0,71.0,,,,right_only,78,7059.0,1965-01-24
,,,,8.7,,,1965.0,2.0,4.0,,1965-02-04,5.0,1.0,21.6,4.0,1.0,36.0,,0.0,USA,AK,87.0,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.29,178.55,10.7,83.0,,3.3,2.5,,,,0.01,right_only,79,12046.0,1965-02-04
,,,,6.3,,,1965.0,3.0,9.0,,1965-03-09,17.0,57.0,53.7,3.0,1.0,18.0,,0.0,GREECE,,50.0,AEGEAN SEA,39.4,24.0,,2.0,,,,,,,,right_only,80,90.0,1965-03-09
,,,,7.6,,,1965.0,3.0,30.0,,1965-03-30,2.0,27.0,3.4,4.0,1.0,20.0,,0.0,USA,AK,87.0,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",50.32,177.93,0.1,3.0,,-2.3,-1.0,,,,,right_only,81,7270.0,1965-03-30
,,,,6.5,,,1965.0,7.0,2.0,,1965-07-02,20.0,58.0,38.1,4.0,1.0,40.0,,0.0,USA,AK,87.0,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",53.03,-167.55,0.08,3.0,,-3.3,-2.0,,,,,right_only,83,7492.0,1965-07-02
,,,,7.0,,,1965.0,8.0,11.0,,1965-08-11,22.0,31.0,45.9,4.0,1.0,13.0,,0.0,VANUATU,,82.0,VANUATU ISLANDS,-15.8,167.2,7.0,4.0,,2.8,2.5,,,,,right_only,84,2380.0,1965-08-11
,,,,7.3,,,1965.0,8.0,13.0,,1965-08-13,12.0,40.0,32.0,2.0,1.0,33.0,,0.0,VANUATU,,82.0,VANUATU ISLANDS,-15.9,166.8,2.0,1.0,,1.0,1.0,,,,,right_only,85,72.0,1965-08-13
,,,,7.6,,,1966.0,3.0,12.0,,1966-03-12,16.0,31.0,21.8,3.0,1.0,48.0,,0.0,TAIWAN,,84.0,E. TAIWAN-RYUKYU ISLANDS,24.1,122.6,0.1,5.0,,-3.3,0.0,,,,,right_only,87,1285.0,1966-03-12
